iter	Passed	Remaining
0	136	136449
1	137	68530
2	138	45889
3	138	34537
4	139	27714
5	139	23165
6	140	19912
7	140	17473
8	141	15576
9	141	14056
10	142	12819
11	143	11787
12	143	10913
13	144	10166
14	144	9517
15	145	8947
16	146	8443
17	146	7996
18	147	7598
19	147	7247
20	148	6935
21	149	6645
22	150	6378
23	150	6130
24	151	5900
25	151	5688
26	152	5493
27	152	5309
28	153	5138
29	153	4978
30	154	4832
31	155	4694
32	155	4562
33	156	4440
34	157	4331
35	157	4225
36	158	4125
37	159	4028
38	159	3938
39	160	3859
40	161	3778
41	162	3697
42	162	3620
43	163	3547
44	163	3476
45	164	3408
46	164	3343
47	165	3281
48	166	3221
49	166	3164
50	167	3109
51	167	3056
52	168	3005
53	168	2955
54	169	2908
55	169	2863
56	170	2819
57	170	2777
58	171	2738
59	172	2702
60	173	2665
61	173	2629
62	174	2592
63	176	2581
64	177	2548
65	177	2516
66	178	2484
67	178	2453
68	179	2422
69	180	2392
70	180	2363
71	181	2335
72	181	2309
73	182	2282
74	182	2256
75	183	2232
76	184	2207
77	184	2183
78	185	2160
79	185	2137
80	186	2115
81	187	2094
82	187	2071
83	188	2054
84	189	2036
85	189	2017
86	190	2000
87	191	1983
88	192	1965
89	192	1947
90	193	1931
91	193	1914
92	194	1897
93	195	1880
94	195	1864
95	196	1847
96	196	1832
97	197	1817
98	197	1801
99	198	1786
100	199	1772
101	199	1758
102	200	1744
103	200	1730
104	201	1716
105	202	1704
106	202	1693
107	203	1681
108	204	1670
109	205	1659
110	205	1647
111	206	1635
112	207	1624
113	207	1613
114	208	1602
115	208	1591
116	209	1579
117	209	1568
118	210	1558
119	211	1548
120	211	1537
121	212	1526
122	212	1516
123	213	1506
124	213	1496
125	214	1487
126	214	1477
127	215	1467
128	215	1458
129	216	1449
130	217	1441
131	217	1433
132	218	1424
133	219	1416
134	219	1408
135	220	1400
136	221	1392
137	221	1384
138	222	1377
139	222	1369
140	223	1361
141	223	1353
142	224	1345
143	225	1337
144	225	1330
145	226	1322
146	226	1315
147	227	1308
148	227	1301
149	228	1294
150	229	1288
151	229	1281
152	230	1275
153	231	1269
154	231	1263
155	232	1257
156	233	1252
157	233	1246
158	234	1240
159	235	1234
160	235	1227
161	236	1222
162	236	1216
163	237	1211
164	238	1206
165	238	1200
166	239	1194
167	240	1188
168	240	1183
169	241	1177
170	241	1171
171	242	1166
172	242	1160
173	243	1155
174	243	1149
175	244	1145
176	245	1139
177	245	1134
178	246	1129
179	247	1125
180	247	1121
181	248	1117
182	249	1112
183	249	1108
184	250	1104
185	251	1099
186	251	1094
187	252	1090
188	253	1085
189	253	1081
190	254	1076
191	254	1071
192	255	1067
193	255	1063
194	256	1058
195	257	1054
196	257	1049
197	258	1045
198	258	1041
199	259	1037
200	259	1033
201	260	1028
202	261	1024
203	261	1020
204	262	1017
205	262	1013
206	263	1010
207	264	1006
208	264	1002
209	265	999
210	266	995
211	266	991
212	267	988
213	268	984
214	268	980
215	269	977
216	269	973
217	270	969
218	270	966
219	271	962
220	272	958
221	272	955
222	273	951
223	273	948
224	274	945
225	275	942
226	275	939
227	276	935
228	276	932
229	277	929
230	278	926
231	278	923
232	279	920
233	280	916
234	280	913
235	281	910
236	282	908
237	282	904
238	283	901
239	283	898
240	284	895
241	285	892
242	285	889
243	286	886
244	286	883
245	287	881
246	288	878
247	288	875
248	289	872
249	289	869
250	290	866
251	290	863
252	291	860
253	291	857
254	292	855
255	293	853
256	294	851
257	295	848
258	295	845
259	296	843
260	297	840
261	297	838
262	298	835
263	298	832
264	299	830
265	299	827
266	300	824
267	300	821
268	301	819
269	302	817
270	302	815
271	303	812
272	304	810
273	304	807
274	305	805
275	305	802
276	306	799
277	307	797
278	307	795
279	308	792
280	309	790
281	309	788
282	310	785
283	310	783
284	311	781
285	312	779
286	312	776
287	313	774
288	313	772
289	314	769
290	315	767
291	315	765
292	316	763
293	316	761
294	317	758
295	318	756
296	318	754
297	319	752
298	319	750
299	320	747
300	321	745
301	321	743
302	322	740
303	322	738
304	323	736
305	323	734
306	324	732
307	325	730
308	326	729
309	327	728
310	327	726
311	328	724
312	329	722
313	329	720
314	330	718
315	330	716
316	331	714
317	332	712
318	332	710
319	333	708
320	333	706
321	334	704
